city,country,latitude,longitude,temperature
Aalborg,Denmark,57.03,9.92,7.52
Aberdeen,United Kingdom,57.17,-2.08,8.10
Abisko,Sweden,63.35,18.83,0.20
Adana,Turkey,36.99,35.32,18.67
Albacete,Spain,39.00,-1.87,12.62
Algeciras,Spain,36.13,-5.47,17.38
Amiens,France,49.90,2.30,10.17
Amsterdam,Netherlands,52.35,4.92,8.93
Ancona,Italy,43.60,13.50,13.52
Andorra,Andorra,42.50,1.52,9.60
Angers,France,47.48,-0.53,10.98
Ankara,Turkey,39.93,32.86,9.86
Antalya,Turkey,36.89,30.70,11.88
Arad,Romania,46.17,21.32,9.32
Athens,Greece,37.98,23.73,17.41
Augsburg,Germany,48.35,10.90,4.54
Bacau,Romania,46.58,26.92,7.51
Badajoz,Spain,38.88,-6.97,15.61
Baia Mare,Romania,47.66,23.58,8.87
Balti,Moldova,47.76,27.91,8.23
Barcelona,Spain,41.38,2.18,15.78
Bari,Italy,41.11,16.87,15.15
Basel,Switzerland,47.58,7.59,6.68
Batman,Turkey,37.89,41.14,14.16
Belfast,United Kingdom,54.60,-5.96,8.48
Belgrade,Serbia,44.82,20.47,9.85
Bergamo,Italy,45.70,9.67,9.12
Bergen,Norway,60.39,5.32,1.75
Berlin,Germany,52.52,13.40,8.72
Bialystok,Poland,53.15,23.17,6.07
Bielefeld,Germany,52.03,8.53,8.78
Bila Tserkva,Ukraine,49.77,30.13,6.98
Bilbao,Spain,43.25,-2.93,11.41
Birmingham,United Kingdom,52.47,-1.92,8.81
Blackpool,United Kingdom,53.83,-3.05,9.15
Bodo,Norway,67.25,14.40,4.50
Bologna,Italy,44.50,11.34,11.69
Bonn,Germany,50.72,7.08,8.63
Bordeaux,France,44.85,-0.60,11.87
Botosani,Romania,47.75,26.66,8.23
Bournemouth,United Kingdom,50.73,-1.90,9.97
Bradford,United Kingdom,53.80,-1.75,8.39
Braga,Portugal,41.55,-8.42,13.42
Braila,Romania,45.29,27.97,9.78
Bratislava,Slovakia,48.15,17.12,9.65
Bremen,Germany,53.08,8.80,8.14
Brest,France,48.39,-4.50,11.02
Brest,Belarus,52.10,23.70,6.73
Brno,Czech Republic,49.20,16.61,7.86
Brugge,Belgium,51.22,3.23,9.65
Bucharest,Romania,44.43,26.10,10.59
Budapest,Hungary,47.50,19.08,9.55
Burgas,Bulgaria,42.51,27.47,11.93
Burgos,Spain,42.35,-3.68,10.45
Bursa,Turkey,40.20,29.07,11.16
Bydgoszcz,Poland,53.12,18.01,7.14
Bytom,Poland,50.35,18.91,7.66
Caen,France,49.18,-0.35,9.96
Cambridge,United Kingdom,52.20,0.12,9.25
Cartagena,Spain,37.60,-0.98,17.32
Catania,Italy,37.50,15.08,15.04
Chemnitz,Germany,50.83,12.92,8.05
Cherkasy,Ukraine,49.43,32.07,7.19
Chernihiv,Ukraine,51.50,31.30,5.92
Chernivtsi,Ukraine,48.31,25.92,7.06
Chisinau,Moldova,47.01,28.86,8.60
Constanta,Romania,44.20,28.61,11.24
Cork,Ireland,51.90,-8.50,9.41
Cosenza,Italy,39.27,16.29,16.60
Craiova,Romania,44.33,23.83,10.51
Daugavpils,Latvia,55.88,26.51,5.38
Debrecen,Hungary,47.53,21.63,8.87
Denizli,Turkey,37.77,29.08,15.02
Dijon,France,47.33,5.03,8.69
Dublin,Ireland,53.33,-6.25,8.49
Dundee,United Kingdom,56.47,-3.00,6.40
Edinburgh,United Kingdom,55.95,-3.22,7.43
Edirne,Turkey,41.67,26.57,10.90
Elbasan,Albania,41.12,20.08,15.18
Elblag,Poland,54.19,19.40,6.68
Erfurt,Germany,50.97,11.03,7.40
Erzincan,Turkey,39.75,39.49,8.67
Erzurum,Turkey,39.92,41.29,5.17
Eskisehir,Turkey,39.79,30.53,11.11
Exeter,United Kingdom,50.70,-3.53,10.14
Foggia,Italy,41.46,15.56,13.83
Frankfurt,Germany,50.10,8.68,7.98
Freiburg,Germany,48.00,7.87,6.68
Galway,Ireland,53.27,-9.05,10.00
Gaziantep,Turkey,37.07,37.38,13.46
Geneva,Switzerland,46.21,6.14,8.40
Genoa,Italy,44.41,8.93,12.94
Glasgow,United Kingdom,55.87,-4.25,8.60
Göteborg,Sweden,57.75,12.00,5.76
Granada,Spain,37.16,-3.59,16.33
Graz,Austria,47.08,15.41,6.91
Grenoble,France,45.18,5.72,8.40
Groningen,Netherlands,53.22,6.58,8.71
Gyor,Hungary,47.70,17.63,9.65
Heidelberg,Germany,49.42,8.70,8.47
Helsinki,Finland,60.18,24.93,4.19
Horlivka,Ukraine,48.30,38.05,7.12
Hrodna,Belarus,53.68,23.83,6.07
Huelva,Spain,37.25,-6.93,17.09
Ingolstadt,Germany,48.77,11.45,7.57
Innsbruck,Austria,47.28,11.41,4.54
Inverness,United Kingdom,57.47,-4.23,8.00
Istanbul,Turkey,41.10,29.01,13.20
Kalamata,Greece,37.04,22.11,17.30
Karaman,Turkey,37.18,33.22,10.41
Karlsruhe,Germany,49.00,8.40,8.88
Kaunas,Lithuania,54.95,23.88,6.05
Kayseri,Turkey,38.73,35.49,8.89
Kherson,Ukraine,46.63,32.60,8.64
Kielce,Poland,50.89,20.66,7.29
Kiev,Ukraine,50.43,30.52,6.88
Kiruna,Sweden,67.85,20.22,-2.20
Klaipeda,Lithuania,55.72,21.12,7.00
